Name,Alternate Name,Abstract,Keywords,Source (organization),GN permalink,Image,CAT Beach Health,CAT Binational,CAT climatology,CAT Environmental,CAT habs,CAT Hydrologic,CAT Invasive Species,CAT Models,CAT Nearshore,CAT Nutrients,CAT observationsBuoys,CAT Other Resources,CAT QA / QC,CAT Satellite,CAT temperature,CAT water_quality
"45165 - Oregon, OH",Toledo Water Intake Crib Buoy (45165),"GLOS in-situ buoy in Lake Erie. Owned and maintained by LimnoTech. This buoy is sponsored by the City of Toledo Department of Public Utilities, Division of Water Treatment to monitor conditions near the water intake for the Collins Park Water Treatment Plant's intake crib located 3 miles offshore of Oregon, OH.",sea surface height|wave speed/direction|significant wave height|wave height|wave period|air temperature|atmospheric pressure|dew point temperature|wind speed/wind direction|pH|water temperature|conductivity|chlorophyll|turbidity|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|waves|buoys|observations|GLOS|NDBC ID 45165|HABs|Harmful Algal Blooms|waves|Lake Erie|Toledo|OH|Monroe|MI|Great Lakes,LimnoTech | City of Toledo,http://data.glos.us/metadata?uuid=305fd7a1-400b-4a31-8e5c-061f0b0e2046,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=305fd7a1-400b-4a31-8e5c-061f0b0e2046&fname=45165_mini_sm_s.png,,,x,,,,,,,,X,,,,x,
45171 - Granite Island Buoy,Granite Island Buoy (45171),"Monitoring buoy on Lake Superior near Granite Island (located about 12 miles northwest of Marquette in the Upper Peninsula, Michigan), owned and operated by Northern Michigan University. The buoy provides minute-by-minute observations of weather, water temperature and wave activity.",sea surface temperature|sea surface height|wave height|significant wave height|water temperature|wind speed/direction|wave period|air temperature|significant wave period|water temperature - surface|waves|buoys|observations|NDBC ID 45171|GLOS|Coastal Storms Program|Lake Superior|Granite Island|MI|Great Lakes,Northern Michigan University,http://data.glos.us/metadata?uuid=191cf778-6180-4404-925b-9ee5b06d31fd,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=191cf778-6180-4404-925b-9ee5b06d31fd&fname=45171_sm_s.png,,,x,,,,,,,,X,,,,x,
45172 - Grand Marais Buoy,Grand Marais Buoy (45172),"Monitoring buoy on Lake Superior near Grand Marais about 4 to 5 miles off shore, owned and operated by Northern Michigan University. The buoy provides minute-by-minute observations of weather, water temperature and wave activity.",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|significant wave period|water temperature - surface|NDBC ID 45172|GLOS|Coastal Storms Program|observations|buoys|weather|waves|observations|Lake Superior|Grand Marais|MI|Great Lakes,Northern Michigan University,http://data.glos.us/metadata?uuid=e9eccc1b-167e-473f-82bf-bc226cf6c584,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e9eccc1b-167e-473f-82bf-bc226cf6c584&fname=45172_sm_s.png,,,x,,,,,,,,X,,,,x,
ATW20,Milwaukee Buoy ATW20 (45013),"University of Wisconsin in-situ buoy near Atwater Park, WI.",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45013|ATW20|GLOS|buoys|observations|waves|Lake Michigan|Atwater Park|WI |Great Lakes,Northern Michigan University,http://data.glos.us/metadata?uuid=d53be051-b4df-454a-a374-b37ba39b23e3,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=d53be051-b4df-454a-a374-b37ba39b23e3&fname=45013--45014_sm_s.png,,,x,,,,,,,,X,,,,x,
Avon Lake Pump Station,Avon Lake Pump Station (leavon),"First in technology, Avon Lake is always working to balance cost, quality, efficiency, and environmental responsibility in everything we do. We strive to make our drinking water and wastewater treatment systems among the most progressive in the country. When zebra mussels invaded the Great Lakes in the ‘80s, Avon Lake was the region’s first utility to innovate methods of preventing mussels from obstructing raw water intakes. One of the newest threats we protect you from is toxic algae. We are putting effort into learning more about microcystin and other toxins found in harmful algal blooms (HABs) and are putting into pace this year new ‘clearwell’ storage tanks and will be adding additional pumping and emergency power generation factilities. We will also rehabilitate several filters to improve treatment ability and convert some existing basins to allow water to be recycled within the plant and reduce the burden on the wastewater treatment facility—thereby further reducing your wastewater’s impact on Lake Erie. ",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|dissolved gasses|leavon|Avon Lake Regional Water|HABs|Harmful Algal Blooms|dissolved oxygen|dissolved oxygen saturation|GLOS|Lake Erie|Great Lakes,Avon Lake Regional Water,http://data.glos.us/metadata?uuid=b303e50f-4615-4d13-bafa-dae868f9f65f,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=b303e50f-4615-4d13-bafa-dae868f9f65f&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
City of Toledo Water Intake Crib,City of Toledo Water Intake Crib (tolcrib),Data from Toledo Water Intake Crib (bottom) for inclusion in GLOS Harmful Algal Bloom Viewer.,ph|water temperature|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|tolcrib|HABs|Harmful Algal Blooms|Water intake|LimnoTech|GLOS|Lake Erie|Great Lakes|City of Toledo,City of Toledo,http://data.glos.us/metadata?uuid=6349eecd-2b05-46d5-93ed-fe87f00e4702,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=6349eecd-2b05-46d5-93ed-fe87f00e4702&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
Elyria Pump Station,Elyria Pump Station (leelyria),"In the late 1800’s, the City of Elyria purchased property on the shore of Lake Erie, which is now inside the city limits of Lorain, to build a water plant and pump treated water to its citizens. Elyria is believed to be the first inland City in the United States to pump treated water from the Great Lakes. Among the latest improvements include a new High Service Pump House that pumps water from Lake Erie in Lorain to Elyria; new Low Service Screens and Pumps that screen out debris; and renovations to the Water Plant Laboratory. ",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|leelyria|HABs|Harmful Algal Blooms|GLOS|Lake Erie|Great Lakes|City of Elyria,City of Elyria,http://data.glos.us/metadata?uuid=e22e93ec-cd9d-4173-8eb2-bd12040694ef,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e22e93ec-cd9d-4173-8eb2-bd12040694ef&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
GB17,Green Bay Buoy GB17 (45014),University of Wisconsin in-situ buoy in Green Bay.,atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|wind speed/direction|water temperature|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|buoys|observations|waves|NDBC ID 45014|GB17|Lake Michigan|Green Bay|WI|Great Lakes,University of Wisconsin-Milwaukee,http://data.glos.us/metadata?uuid=fbf84dee-806a-4dd8-89f7-29b1f253556c,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=fbf84dee-806a-4dd8-89f7-29b1f253556c&fname=45013--45014_sm_s.png,,,x,,,,,,,,X,,,,x,
Gibraltar Island Station,Gibraltar Island Station (osugi),"Data from Ohio State University's Stone Laboratory, Gibraltar Island station for inclusino in GLOS' Harmful Algal Bloom Viewer.",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|dissolved gasses|sugi|HABs|Harmful Algal Blooms|GLOS|dissolved oxygen|dissolved oxygen saturation|Lake Erie|Great Lakes|Gibraltar Island,Ohio State University Stone Laboratory,http://data.glos.us/metadata?uuid=92456797-d800-4d3b-8077-a14dae4987bc,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=92456797-d800-4d3b-8077-a14dae4987bc&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,
Grand Traverse Bay Observing System Station 1,Grand Traverse Bay Buoy GTBOSS1 (45020) (Decommissioned - Not Active),"Decommissioned buoy in Lake Michigan Grand Traverse Bay, operated by the University of Michigan Marine Hydrodynamics Laboratory.",air temperature|significant wave height|significant wave period|water temperature - surface|wind gust|wind speed|wind from direction|GLOS|waves|buoys|observations|NDBC ID 45020|Lake Michigan|Grand Traverse Bay|decommissioned|Great Lakes,University of Michigan Marine Hydrodynamics Laboratory,http://data.glos.us/metadata?uuid=b01bae39-002d-4412-9727-de0ce84cb142,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=b01bae39-002d-4412-9727-de0ce84cb142&fname=45020_mini_sm_s.png,,,x,,,,,,,,X,,,,x,
